num_cnpj_agente_distribuidora,sig_agente_distribuidora,nom_agente_distribuidora,nome_normalizado,uf,regiao,fonte_geografia,observacao
49606312000132,CERIPA,COOPERATIVA DE ELETRIFICAÇÃO RURAL DE ITAÍ PARANAPANEMA AVARÉ LTDA,cooperativa de eletrificacao rural de itai paranapanema avare ltda,,,,
49606312000132,CERIPa,COOP DE ELET RURAL DE ITAI PARANAPANEMA AVARE LTDA,coop de elet rural de itai paranapanema avare ltda,,,,
57384943000182,CERIS,COOPERATIVA DE ELETRIFICAÇÃO DA REGIÃO DE ITAPECERICA DA SERRA,cooperativa de eletrificacao da regiao de itapecerica da serra,,,,
52548732000114,CERMC,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO DA REGIAO DE MOGI DAS CRUZES,cooperativa de eletrificacao e desenvolvimento da regiao de mogi das cruzes,,,,
52548732000114,CERMC,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE MOGI DAS CRUZES,cooperativa de eletrificacao e desenvolvimento da regiao de mogi das cruzes,,,,
97081434000103,CERMISSÕES,COOPERATIVA DE DISTRIBUIÇÃO E GERAÇÃO DE ENERGIA DAS MISSÕES - CERMISSÕES,cooperativa de distribuicao e geracao de energia das missoes - cermissoes,,,,
86533346000170,CERMOFUL,COOPERATIVA FUMACENSE DE ELETRICIDADE - CERMOFUL ENERGIA,cooperativa fumacense de eletricidade - cermoful energia,,,,
53176038000186,CERNHE,COOPERATIVA DE ELETRIFICACAO E DESENVOLVIMENTO RURAL DA REGIAO DE NOVO HORIZONTE,cooperativa de eletrificacao e desenvolvimento rural da regiao de novo horizonte,,,,
53176038000186,CERNHE,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO RURAL DA REGIÃO DE NOVO HORIZONTE,cooperativa de eletrificacao e desenvolvimento rural da regiao de novo horizonte,,,,
05914650000166,CERON,ENERGISA RONDÔNIA - DISTRIBUIDORA DE ENERGIA S.A,energisa rondonia - distribuidora de energia s.a,,,,
85318640000105,CERPALO,COOPERATIVA DE ELETRICIDADE DE PAULO LOPES,cooperativa de eletricidade de paulo lopes,,,,
44560381000139,CERPRO,COOPERATIVA DE ELETRIFICACAO RURAL DA REGIAO DE PROMISSAO,cooperativa de eletrificacao rural da regiao de promissao,,,,
44560381000139,CERPRO,COOPERATIVA DE ELETRIFICAÇÃO RURAL DA REGIÃO DE PROMISSÃO,cooperativa de eletrificacao rural da regiao de promissao,,,,
05938444000196,CERR,Companhia Energética de Roraima,companhia energetica de roraima,,,,
46598678000119,CERRP,COOPERATIVA DE ELETRIFICAÇÃO E DESENVOLVIMENTO DA REGIÃO DE SÃO JOSÉ DO RIO PRETO-CERRP,cooperativa de eletrificacao e desenvolvimento da regiao de sao jose do rio preto-cerrp,,,,
